Wall time,Step,Value
1589687593.8639393,1748,1919.8641357421875
1589687617.1630323,1771,1954.419921875
1589687639.3785043,1794,1500.9453125
1589687661.8146539,1817,1772.2799072265625
1589687684.3653417,1840,2302.501953125
1589687707.5479672,1863,2622.5732421875
1589687729.8055885,1886,2306.9296875
1589687752.6079936,1909,1644.316650390625
1589687775.7041755,1932,1618.602783203125
1589687798.304131,1955,1792.1590576171875
1589687820.5739381,1978,2064.86279296875
1589687842.858325,2001,2422.222412109375
1589687865.6403108,2024,2805.085205078125
1589687888.1021442,2047,2689.046142578125
1589687910.5161276,2070,1988.79638671875
1589687933.0348969,2093,1573.301513671875
1589687955.2549524,2116,1696.427978515625
1589687977.6995087,2139,2186.780517578125
1589688000.8149703,2162,1958.2694091796875
1589688022.660823,2185,3097.312255859375
1589688044.9054933,2208,3867.15234375
1589688067.5054233,2231,3543.189697265625
1589688090.5162234,2254,1998.895263671875
1589688112.73981,2277,1607.958251953125
1589688134.9890795,2300,1774.3818359375
1589688157.0185902,2323,1807.0809326171875
1589688179.919485,2346,1623.5228271484375
1589688202.093871,2369,2529.705810546875
1589688224.9037027,2392,1859.458740234375
1589688247.140415,2415,1657.434814453125
1589688268.9320788,2438,2114.597900390625
1589688290.8997362,2461,2154.711669921875
1589688313.3420815,2484,2829.960205078125
1589688335.4647691,2507,3155.207275390625
1589688358.2750523,2530,2071.0390625
1589688380.8755107,2553,2714.712646484375
1589688403.8465257,2576,2743.955810546875
1589688426.1161025,2599,2597.353271484375
1589688447.599773,2622,2686.7041015625
1589688470.5144322,2645,2439.2685546875
1589688492.5867462,2668,1739.33935546875
1589688515.2514057,2691,2089.51611328125
1589688536.954049,2714,2147.4267578125
1589688559.3338432,2737,2160.155029296875
1589688581.820178,2760,1513.9217529296875
1589688603.9430065,2783,1517.220458984375
1589688626.1251676,2806,1253.7811279296875
1589688649.5809255,2829,3286.025146484375
1589688671.936051,2852,3385.105712890625
1589688694.1283333,2875,2364.093017578125
1589688716.70564,2898,1931.67626953125
1589688739.3602407,2921,1994.4881591796875
1589688761.9467502,2944,2398.245361328125
1589688784.193054,2967,1759.051025390625
1589688806.46737,2990,1455.5615234375
1589688828.8477201,3013,1440.997314453125
1589688851.1944778,3036,1578.56982421875
1589688873.1510901,3059,2327.39208984375
1589688895.831781,3082,1784.5054931640625
1589688917.8129954,3105,1749.1827392578125
1589688940.0889015,3128,1166.8197021484375
1589688963.100516,3151,1413.688232421875
1589688986.366233,3174,1331.86572265625
1589689008.944977,3197,2728.852294921875
1589689031.571916,3220,2883.28173828125
1589689053.5718277,3243,2109.794189453125
1589689075.6876578,3266,1939.9468994140625
1589689097.6005425,3289,1910.770751953125
1589689119.8196867,3312,1820.9534912109375
1589689142.316265,3335,2185.866455078125
1589689164.879864,3358,2072.634521484375
1589689187.0483723,3381,1343.2144775390625
1589689209.4078393,3404,1285.722900390625
1589689232.165508,3427,1989.469482421875
1589689254.6120124,3450,1475.504638671875
1589689277.6059067,3473,1497.492919921875
1589689299.8512208,3496,2139.90576171875
1589689322.434715,3519,2427.04345703125
1589689344.6510608,3542,2783.9365234375
1589689366.1801705,3565,2225.997314453125
1589689388.8933887,3588,1584.1983642578125
1589689411.9143047,3611,1212.8658447265625
1589689434.6851413,3634,1181.0872802734375
1589689457.7631516,3657,1290.9058837890625
1589689481.043656,3680,1112.5513916015625
1589689503.2848494,3703,1399.3758544921875
1589689526.094097,3726,1260.0516357421875
1589689548.3094158,3749,894.76953125
1589689571.7572553,3772,1342.8507080078125
1589689593.9113286,3795,1084.152587890625
1589689616.5628366,3818,1128.5701904296875
1589689638.750603,3841,898.5462036132812
1589689661.3593266,3864,786.3483276367188
1589689684.0519514,3887,978.3515014648438
1589689707.4714544,3910,1226.8187255859375
1589689730.304998,3933,1041.8587646484375
1589689753.4544313,3956,985.7367553710938
1589689776.0270214,3979,1054.090087890625
1589689798.5057073,4002,1976.2899169921875
1589689820.9449933,4025,1191.110107421875
1589689843.4046066,4048,979.6549682617188
1589689866.0357342,4071,1036.21142578125
1589689888.5012167,4094,897.9678344726562
1589689910.2030363,4117,770.5677490234375
1589689932.7399487,4140,675.8855590820312
1589689955.1620502,4163,564.1714477539062
1589689977.1914341,4186,744.536376953125
1589689999.550941,4209,740.2943115234375
1589690021.830492,4232,741.4528198242188
1589690044.643167,4255,702.964111328125
1589690067.10118,4278,968.9678955078125
1589690089.4929142,4301,933.881103515625
1589690111.9069798,4324,861.5153198242188
1589690135.5808039,4347,841.978759765625
1589690158.0679436,4370,828.3702392578125
1589690181.3227766,4393,623.99951171875
1589690203.69672,4416,462.1435546875
1589690226.36072,4439,538.857177734375
1589690249.1717565,4462,489.79290771484375
1589690272.1183968,4485,467.45135498046875
1589690294.8565438,4508,501.2981262207031
1589690317.1923795,4531,572.6439208984375
1589690339.8238058,4554,784.3305053710938
1589690363.0514662,4577,1202.529296875
1589690386.28229,4600,1346.643310546875
1589690408.3438046,4623,2932.177734375
1589690431.8253071,4646,2464.931396484375
1589690454.216952,4669,2184.6171875
1589690476.8233004,4692,950.1378173828125
1589690499.6593046,4715,724.8353271484375
1589690522.1378918,4738,798.3911743164062
1589690544.7087884,4761,567.6853637695312
1589690566.7550883,4784,895.3152465820312
1589690589.104898,4807,920.0183715820312
1589690611.5442882,4830,552.4157104492188
1589690633.9597507,4853,650.8013916015625
1589690656.7538304,4876,613.25
1589690679.3690438,4899,618.9202880859375
1589690702.0991592,4922,947.0069580078125
1589690724.946134,4945,1587.5086669921875
1589690746.9910498,4968,1307.510009765625
1589690769.8801024,4991,1168.233642578125
1589690792.9782958,5014,981.0947265625
1589690815.6236248,5037,856.416259765625
1589690837.9952419,5060,939.2905883789062
1589690860.1070235,5083,1461.716064453125
1589690882.370041,5106,1170.8057861328125
1589690904.4325306,5129,1343.28125
1589690926.7251065,5152,1634.0572509765625
1589690949.0950022,5175,3042.58642578125
1589690971.3788865,5198,6316.30224609375
1589690994.6146476,5221,7972.47705078125
1589691016.9056277,5244,4244.22509765625
1589691039.2299094,5267,2490.383544921875
1589691061.5491295,5290,1640.609375
1589691084.1280577,5313,1144.217529296875
1589691106.5914102,5336,628.462646484375
1589691129.0827677,5359,542.622314453125
1589691151.5867536,5382,347.5681457519531
1589691173.7446554,5405,361.42803955078125
1589691196.7208118,5428,601.47021484375
1589691218.5909584,5451,481.4729919433594
1589691240.4771476,5474,345.6763610839844
1589691263.03952,5497,350.35357666015625
1589691285.3823218,5520,243.5068817138672
1589691307.7695932,5543,373.75396728515625
1589691330.2554202,5566,355.590576171875
1589691352.782568,5589,354.9460754394531
1589691375.1624928,5612,269.1558837890625
1589691397.9920118,5635,284.8929748535156
1589691420.008156,5658,319.66351318359375
1589691442.025418,5681,354.6837463378906
1589691464.4782205,5704,352.7154846191406
1589691486.7081683,5727,283.7192077636719
1589691509.3738356,5750,238.4640655517578
1589691532.3650768,5773,263.80853271484375
1589691554.8807628,5796,254.19918823242188
1589691577.050065,5819,238.14891052246094
1589691599.7162926,5842,348.2147521972656
1589691622.3876574,5865,555.8294067382812
1589691644.0330842,5888,558.7708740234375
1589691665.9240441,5911,739.33544921875
1589691688.0733762,5934,667.4534912109375
1589691710.4807296,5957,510.0931701660156
1589691733.2499745,5980,328.66156005859375
1589691755.621326,6003,375.71746826171875
1589691777.7425346,6026,388.2524719238281
1589691800.101125,6049,596.0922241210938
1589691822.2034137,6072,620.779052734375
1589691844.8439536,6095,386.0070495605469
1589691867.5009234,6118,354.5155029296875
1589691889.9124405,6141,400.20538330078125
1589691912.0399845,6164,501.8545837402344
1589691934.466237,6187,415.3143005371094
1589691956.7699664,6210,351.46343994140625
1589691979.2593057,6233,350.5198669433594
1589692001.5431483,6256,317.5709228515625
1589692024.043095,6279,290.2530212402344
1589692046.3700695,6302,383.49066162109375
1589692068.4300585,6325,366.6705322265625
1589692090.7795346,6348,341.2772521972656
1589692113.165447,6371,234.1289520263672
1589692135.4577956,6394,274.4775085449219
1589692157.639012,6417,293.6682434082031
