Wall time,Step,Value
1589685885.0278807,23,0.2197204977273941
1589685908.326792,46,0.2534937858581543
1589685931.8760626,69,0.27600932121276855
1589685955.34402,92,0.2853260934352875
1589685978.9502838,115,0.30978259444236755
1589686002.1026633,138,0.2985248565673828
1589686025.0322914,161,0.3066770136356354
1589686048.5480077,184,0.3610248565673828
1589686072.3076508,207,0.3093944191932678
1589686095.9721756,230,0.3734472095966339
1589686119.5050683,253,0.3059006333351135
1589686143.1633992,276,0.3357919156551361
1589686167.016051,299,0.3621894419193268
1589686189.8187287,322,0.28338509798049927
1589686212.4632876,345,0.2950310707092285
1589686236.4760337,368,0.3520962595939636
1589686260.1162689,391,0.3575310707092285
1589686282.8512561,414,0.34006211161613464
1589686305.36252,437,0.33850932121276855
1589686328.5631511,460,0.3179347813129425
1589686351.4237638,483,0.28105589747428894
1589686374.2702353,506,0.3066770136356354
1589686397.4306722,529,0.3501552939414978
1589686420.4123535,552,0.29153725504875183
1589686442.86716,575,0.3229813575744629
1589686465.5563195,598,0.2841614782810211
1589686488.1170168,621,0.3086180090904236
1589686511.5496447,644,0.3431676924228668
1589686534.8333569,667,0.3086180090904236
1589686557.8876991,690,0.33113354444503784
1589686580.329067,713,0.3447204828262329
1589686602.7405,736,0.3175465762615204
1589686625.4742157,759,0.35636645555496216
1589686647.8147044,782,0.32220497727394104
1589686669.861807,805,0.31871119141578674
1589686692.4483478,828,0.32958075404167175
1589686714.9478045,851,0.33152174949645996
1589686737.8285697,874,0.35636645555496216
1589686761.8150744,897,0.2888198792934418
1589686784.3558166,920,0.35636645555496216
1589686806.5317628,943,0.3121117949485779
1589686829.1530168,966,0.3109472095966339
1589686851.8939598,989,0.36490681767463684
1589686874.752912,1012,0.35636645555496216
1589686897.3209689,1035,0.3140527904033661
1589686919.5912268,1058,0.3555900752544403
1589686942.4130287,1081,0.3357919156551361
1589686964.8209836,1104,0.3486024737358093
1589686987.7081392,1127,0.32763975858688354
1589687010.1130126,1150,0.3086180090904236
1589687032.9554298,1173,0.34200310707092285
1589687055.1556547,1196,0.2569875717163086
1589687077.6717215,1219,0.3781055808067322
1589687099.6154068,1242,0.3264751434326172
1589687121.9154449,1265,0.33850932121276855
1589687144.2582421,1288,0.31871119141578674
