Wall time,Step,Value
1589652953.433774,23,2.0706894397735596
1589652960.5377648,46,1.686303734779358
1589652967.6310568,69,1.7363412380218506
1589652974.787277,92,1.5046645402908325
1589652981.9903529,115,1.4634416103363037
1589652988.9069517,138,1.4917339086532593
1589652995.9358747,161,1.4919277429580688
1589653002.9625044,184,1.3232723474502563
1589653010.0116181,207,1.3983033895492554
1589653017.367775,230,1.3430224657058716
1589653024.633642,253,1.380076289176941
1589653031.8565688,276,1.4035402536392212
1589653038.9575727,299,1.336098313331604
1589653046.191553,322,1.3551803827285767
1589653053.20189,345,1.2721846103668213
1589653060.349269,368,1.3382831811904907
1589653067.474678,391,1.2473200559616089
1589653074.6566281,414,1.242327332496643
1589653081.7692497,437,1.2334798574447632
1589653088.8832173,460,1.1970175504684448
1589653096.121811,483,1.2314258813858032
1589653103.2217968,506,1.4531536102294922
1589653110.316464,529,1.3151980638504028
1589653117.450149,552,1.2277997732162476
1589653124.700947,575,1.4148861169815063
1589653131.8810444,598,1.3970180749893188
1589653138.9736223,621,1.3308327198028564
1589653145.912675,644,1.213903784751892
1589653152.9676042,667,1.22426438331604
1589653160.048659,690,1.2762950658798218
1589653167.122841,713,1.2290056943893433
1589653174.1058154,736,1.2324764728546143
1589653181.3585808,759,1.2016364336013794
1589653188.4709346,782,1.1459236145019531
1589653195.6548672,805,1.2082504034042358
1589653202.8247025,828,1.171438217163086
1589653210.0040278,851,1.1408069133758545
1589653217.2261877,874,1.158096194267273
1589653224.497218,897,1.158767580986023
1589653231.6277606,920,1.1852281093597412
1589653238.7283175,943,1.1813043355941772
1589653245.8560925,966,1.0995123386383057
1589653253.0231552,989,1.128380298614502
1589653260.1626337,1012,1.257711410522461
1589653267.1940632,1035,1.4100816249847412
1589653274.4379225,1058,1.3348897695541382
1589653281.4290016,1081,1.3099747896194458
1589653288.55009,1104,1.3181633949279785
1589653295.657164,1127,1.2345439195632935
1589653302.9877539,1150,1.2308645248413086
1589653310.170302,1173,1.2083085775375366
1589653317.377693,1196,1.1964844465255737
1589653324.533866,1219,1.1803685426712036
1589653331.6090865,1242,1.1438895463943481
1589653338.743054,1265,1.1824331283569336
1589653345.845592,1288,1.1709433794021606
1589653352.9805112,1311,1.1418180465698242
1589653360.221133,1334,1.1136000156402588
1589653367.4690073,1357,1.108052134513855
1589653374.518121,1380,1.1438971757888794
1589653381.7350018,1403,1.1361414194107056
1589653389.0333788,1426,1.1792024374008179
1589653396.2030277,1449,1.084195613861084
1589653403.193036,1472,1.1403851509094238
1589653410.345134,1495,1.1084569692611694
1589653417.543601,1518,1.135497808456421
1589653424.7153356,1541,1.1127324104309082
1589653431.8358688,1564,1.1353908777236938
1589653438.925471,1587,1.0499540567398071
1589653445.9052331,1610,1.0424561500549316
1589653453.1396086,1633,1.055682897567749
1589653460.3201482,1656,1.040955662727356
1589653467.4183729,1679,1.1250115633010864
1589653474.4799087,1702,1.0550737380981445
1589653481.6679537,1725,1.0499560832977295
1589653488.6999848,1748,1.0501035451889038
1589653496.0347207,1771,1.0413658618927002
1589653503.0887973,1794,1.0636699199676514
1589653510.241723,1817,1.0558850765228271
1589653517.2786465,1840,1.0258952379226685
1589653524.5806708,1863,1.0105284452438354
1589653531.7211068,1886,1.07699716091156
1589653538.9662092,1909,1.0542643070220947
1589653546.1703887,1932,1.015749216079712
1589653553.2616293,1955,0.9991284608840942
1589653560.3947008,1978,1.0388919115066528
1589653567.6880262,2001,1.0237778425216675
1589653574.8209453,2024,1.0437296628952026
1589653582.0182474,2047,1.0237667560577393
1589653589.1604505,2070,1.142663598060608
1589653596.1654198,2093,1.0231868028640747
1589653603.3908682,2116,0.9723703265190125
1589653610.5999827,2139,1.0404454469680786
1589653617.7161806,2162,0.986873984336853
1589653624.8717554,2185,1.0475925207138062
