Wall time,Step,Value
1589491349.2933266,23,0.32026398181915283
1589491355.5521612,46,0.42779502272605896
1589491361.8297944,69,0.40838509798049927
1589491368.0140033,92,0.42197203636169434
1589491374.1693008,115,0.40993788838386536
1589491380.4198942,138,0.4914596378803253
1589491386.6457548,161,0.4355590045452118
1589491392.8564093,184,0.40256211161613464
1589491399.0386014,207,0.4215838611125946
1589491405.1119504,230,0.4126552939414978
1589491411.3247027,253,0.4398292005062103
1589491417.4991608,276,0.42624223232269287
1589491423.7307568,299,0.4460403621196747
1589491430.0238273,322,0.4538043439388275
1589491436.1215005,345,0.4499223530292511
1589491442.3993084,368,0.4716614782810211
1589491448.6515317,391,0.4825310707092285
1589491454.8093927,414,0.47787266969680786
1589491460.997302,437,0.4553571343421936
1589491467.2888474,460,0.49223601818084717
1589491473.472482,483,0.4518633484840393
1589491479.6981595,506,0.48486024141311646
1589491486.003264,529,0.4180900752544403
1589491492.2601354,552,0.46156832575798035
1589491498.5315163,575,0.47593167424201965
1589491504.8057864,598,0.4895186424255371
1589491511.0622125,621,0.4662266969680786
1589491517.1647978,644,0.4934006333351135
1589491523.4129715,667,0.4200310707092285
1589491529.597731,690,0.46156832575798035
1589491535.9675028,713,0.4111024737358093
1589491542.1073484,736,0.43633541464805603
1589491548.195114,759,0.4836956560611725
1589491554.3119228,782,0.5159161686897278
1589491560.5832357,805,0.4976707994937897
1589491566.7083323,828,0.5186335444450378
1589491572.9573627,851,0.5376552939414978
1589491579.0782852,874,0.5244565010070801
1589491585.3244386,897,0.5003882050514221
1589491591.5535052,920,0.5473602414131165
1589491597.682659,943,0.524068295955658
1589491603.8909829,966,0.5248447060585022
1589491610.0684211,989,0.4914596378803253
1589491616.3135426,1012,0.4949534237384796
1589491622.417087,1035,0.5058229565620422
1589491628.5305982,1058,0.5221273303031921
1589491634.787509,1081,0.5178571343421936
1589491640.946927,1104,0.5477484464645386
1589491647.1212528,1127,0.5438664555549622
1589491653.2698731,1150,0.5663819909095764
1589491659.4722035,1173,0.5834627151489258
1589491665.7004633,1196,0.5337733030319214
1589491671.9831197,1219,0.6017080545425415
1589491678.2698655,1242,0.5357142686843872
1589491684.4643798,1265,0.5411490797996521
1589491690.715712,1288,0.5388198494911194
1589491697.0191936,1311,0.5780279636383057
1589491703.3643768,1334,0.5566770434379578
1589491709.3883312,1357,0.5628882050514221
1589491715.5910614,1380,0.5232919454574585
1589491721.814964,1403,0.5927795171737671
1589491727.93635,1426,0.5477484464645386
1589491734.0873246,1449,0.5310559272766113
1589491740.2382638,1472,0.4751552939414978
1589491746.398742,1495,0.5458074808120728
1589491752.6654963,1518,0.527562141418457
1589491758.9126365,1541,0.5256211161613464
1589491765.0189886,1564,0.49883541464805603
1589491771.1592512,1587,0.4941770136356354
1589491777.3398776,1610,0.5690993666648865
1589491783.5936615,1633,0.5834627151489258
1589491789.7764843,1656,0.5423136353492737
1589491795.900291,1679,0.5873447060585022
1589491801.9134073,1702,0.5760869383811951
1589491808.079275,1725,0.5547360181808472
1589491814.3053794,1748,0.5729813575744629
1589491820.5609033,1771,0.5729813575744629
1589491826.7314427,1794,0.5477484464645386
1589491832.8579195,1817,0.575698733329773
1589491839.0726507,1840,0.5784161686897278
1589491845.2249565,1863,0.538431704044342
1589491851.473504,1886,0.5628882050514221
1589491857.6588361,1909,0.5566770434379578
1589491863.9039702,1932,0.5221273303031921
1589491870.3022912,1955,0.5764751434326172
1589491876.5481296,1978,0.5881211161613464
1589491882.742306,2001,0.5465838313102722
1589491888.9646745,2024,0.5822981595993042
1589491895.1669881,2047,0.5753105878829956
1589491901.4070578,2070,0.6017080545425415
1589491907.5227377,2093,0.5380434989929199
1589491913.6057196,2116,0.5636646151542664
1589491919.7898643,2139,0.5729813575744629
1589491926.0234604,2162,0.6215062141418457
1589491932.1669896,2185,0.5935559272766113
1589491938.4777896,2208,0.5559006333351135
1589491944.597047,2231,0.5788043737411499
1589491950.8079555,2254,0.5764751434326172
1589491957.0455883,2277,0.5656055808067322
1589491963.1000502,2300,0.6152950525283813
1589491969.1880982,2323,0.586568295955658
1589491975.4152386,2346,0.5857919454574585
1589491981.6594245,2369,0.6172360181808472
1589491987.8685184,2392,0.6028726696968079
1589491993.993713,2415,0.5729813575744629
1589492000.0698738,2438,0.5764751434326172
1589492006.3471222,2461,0.5508540272712708
1589492012.4927855,2484,0.5430900454521179
1589492018.7484584,2507,0.616847813129425
1589492024.9419897,2530,0.6315993666648865
1589492031.2063808,2553,0.6513975262641907
1589492037.506164,2576,0.6055900454521179
1589492043.58598,2599,0.6343167424201965
1589492049.6462796,2622,0.5935559272766113
1589492055.785277,2645,0.5791925191879272
1589492061.956517,2668,0.5368788838386536
1589492068.085986,2691,0.5698757767677307
1589492074.2065468,2714,0.5954968929290771
1589492080.468586,2737,0.6090838313102722
1589492086.6844413,2760,0.5954968929290771
1589492092.8332949,2783,0.6215062141418457
1589492098.827158,2806,0.6715838313102722
1589492105.0405262,2829,0.6362577676773071
1589492111.2657907,2852,0.5846273303031921
1589492117.5795527,2875,0.6486801505088806
1589492123.7699738,2898,0.5912266969680786
1589492129.7617629,2921,0.5920031070709229
1589492135.866314,2944,0.6226708292961121
1589492142.0706038,2967,0.6587733030319214
1589492148.2568843,2990,0.6343167424201965
1589492154.5233123,3013,0.5791925191879272
1589492160.6492894,3036,0.6226708292961121
1589492166.6905823,3059,0.597437858581543
1589492172.9568229,3082,0.5811335444450378
1589492178.9936767,3105,0.5799689292907715
1589492185.2638035,3128,0.6017080545425415
1589492191.5935445,3151,0.6234471797943115
1589492197.839621,3174,0.6416925191879272
1589492204.106129,3197,0.6335403919219971
1589492210.4163706,3220,0.5954968929290771
1589492216.578866,3243,0.5667701959609985
1589492222.7693381,3266,0.5302795171737671
1589492228.9957292,3289,0.6350931525230408
1589492235.14809,3312,0.6350931525230408
1589492241.4252458,3335,0.663431704044342
1589492247.6925507,3358,0.6444099545478821
1589492253.879978,3381,0.6673136353492737
1589492260.2430165,3404,0.5803571343421936
1589492266.4577026,3427,0.6397515535354614
1589492272.6886928,3450,0.6649844646453857
1589492278.8385086,3473,0.6463509202003479
1589492285.0357335,3496,0.674301266670227
1589492291.2150486,3519,0.6471273303031921
1589492297.4746687,3542,0.6176242232322693
1589492303.6575172,3565,0.6242235898971558
1589492309.885851,3588,0.652562141418457
1589492316.1873984,3611,0.6451863646507263
1589492322.4359334,3634,0.6669254899024963
1589492328.563111,3657,0.6789596080780029
1589492334.7439828,3680,0.6560559272766113
1589492340.8853006,3703,0.6510093212127686
1589492347.0730493,3726,0.6451863646507263
1589492353.2601054,3749,0.676630437374115
1589492359.396032,3772,0.6479037404060364
1589492365.6243193,3795,0.6750776171684265
1589492371.866696,3818,0.6921584010124207
1589492378.0669737,3841,0.6750776171684265
1589492384.3210285,3864,0.6362577676773071
1589492390.375034,3887,0.6886646151542664
1589492396.5948215,3910,0.6595497131347656
1589492402.8101938,3933,0.6568322777748108
1589492409.0221689,3956,0.6723602414131165
1589492415.2466438,3979,0.6820651888847351
1589492421.2954476,4002,0.6921584010124207
1589492427.4776793,4025,0.6238353848457336
1589492433.6220505,4048,0.5958850979804993
1589492439.8316646,4071,0.6335403919219971
1589492445.8622994,4094,0.652562141418457
1589492451.9720242,4117,0.6238353848457336
1589492458.1676686,4140,0.5485248565673828
1589492464.2945933,4163,0.6001552939414978
1589492470.4456763,4186,0.6451863646507263
1589492476.5416584,4209,0.6180124282836914
1589492482.8031285,4232,0.6506211161613464
1589492488.9911628,4255,0.663431704044342
1589492495.3223455,4278,0.6715838313102722
1589492501.35364,4301,0.6875
1589492507.590503,4324,0.674301266670227
1589492513.7886136,4347,0.6560559272766113
1589492519.9238236,4370,0.6455745100975037
1589492526.1673377,4393,0.6378105878829956
1589492532.3919237,4416,0.663431704044342
1589492538.6078746,4439,0.6952639818191528
1589492544.612935,4462,0.6416925191879272
1589492550.809685,4485,0.6653726696968079
1589492557.114055,4508,0.6777950525283813
1589492563.305589,4531,0.7049689292907715
1589492569.529752,4554,0.6595497131347656
1589492575.7234504,4577,0.7294254899024963
1589492581.8759768,4600,0.7030279636383057
1589492588.1102736,4623,0.7061335444450378
1589492594.244906,4646,0.6677018404006958
1589492600.3718019,4669,0.7348602414131165
1589492606.4211874,4692,0.7204968929290771
1589492612.5988224,4715,0.7142857313156128
1589492618.7519085,4738,0.7061335444450378
1589492624.8430681,4761,0.6878882050514221
1589492631.009771,4784,0.6871117949485779
1589492637.2789786,4807,0.6925466060638428
1589492643.3366964,4830,0.6940993666648865
